N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
556,SN 1990af,SN*,21 34 58.12,-62 44 07.4,,17.91,17.75,,,SNIa,79,1
557,SN 2005fd,SN*,21 35 11.76,+00 09 47.3,,22.3,,,,SNIa,18,1
558,SN 2006fa,SN*,21 35 30.74,-00 58 49.0,,,,,,SNIa,19,1
559,SN 2006kt,SN*,21 35 50.64,-01 03 32.3,,,,,,SNIa,17,1
560,SN 2005ld,SN*,21 40 00.480,-00 00 28.96,,22.1,,,,SNIa,23,1
561,SN 2007rh,SN*,21 41 03.7,+00 08 32,,,,,,SNIa?,10,1
562,SN 2007oq,SN*,21 42 30.75,+00 59 04.6,,,,,,SNIa?,6,1
563,SN 2006hd,SN*,21 44 03.36,+00 43 31.8,,,,,,SNIa,13,1
564,SN 2007id,SN*,21 46 00.49,-01 13 03.9,,,,,,SNIa,9,1
565,SN 2006kz,SN*,21 47 23.520,-00 29 41.15,,,,,,SNIa,17,1
566,SN 2004ey,SN*,21 49 07.81,+00 26 39.2,,,16.0,,,SNIa,60,1
567,SN 2006ge,SN*,21 49 35.79,+00 00 03.8,,,,,,SNIa,9,1
568,SN 2005ic,SN*,21 51 08.69,-00 50 34.6,,22.0,,,,SNIa,17,1
569,SN 2005iz,SN*,21 52 16.560,+00 16 01.48,,,,,,SNIa,23,1
570,SN 2005jm,SN*,21 52 18.960,+00 28 18.90,,,,,,SNIa,25,1
571,SN 2006jk,SN*,21 52 57.60,+00 15 13.2,,,,,,SNIa,12,1
572,SN 2007lt,SN*,21 53 47.280,+00 00 54.10,,,,,,SNIa,15,1
573,SN 2006qg,SN*,21 54 18.09,+00 26 49.2,,,,,,SNIa,10,1
574,SN 2006pl,SN*,21 54 26.88,+00 35 18.6,,,,,,SNIa,13,1
575,SN 2005hu,SN*,21 54 40.80,+00 24 47.8,,22.6,,,,SNIa,23,1
576,SN 2007rf,SN*,21 55 30.96,+00 48 54.3,,,,,,SNIa,12,1
577,SN 2007my,SN*,21 55 32.16,-00 22 18.5,,,,,,SNIa,11,1
578,SN 2005fo,SN*,21 55 46.40,+00 35 36.7,,21.7,,,,SNIa,18,1
579,SN 2005lh,SN*,21 55 48.33,+01 10 51.0,,22.1,,,,SNIa,22,1
580,SN 2006on,SN*,21 55 58.4,-01 04 13,,,,,,SNIa,29,1
581,SN 2005ei,SN*,21 56 47.65,+00 19 03.0,,,,,,SNIa,15,1
582,SN 2006jt,SN*,21 58 48.240,+00 11 54.65,,,,,,SNIa,16,1
583,SN 2005lk,SN*,21 59 49.42,-01 11 37.4,,21.7,,,,SNIa,23,1
584,SN 2006fk,SN*,22 01 01.33,+00 42 58.5,,,,,,SNIa,11,1
585,SN 2006iy,SN*,22 01 53.040,+01 02 40.16,,,,,,SNIa,17,1
586,SN 2006he,SN*,22 04 24.00,+00 41 26.8,,,,,,SNIa,16,1
587,SN 2006ll,SN*,22 07 28.14,-00 54 12.3,,,,,,SNIa,12,1
